,date,person_id,pm_id_0,pm_id_1,pm_id_2,pm_id_3,belongs_to_datasets,count_belongs_to_datasets
233,2019-08-25,1,309157.0,,,,0,1
234,2019-08-26,1,309157.0,,,,0,1
235,2019-08-27,1,309157.0,,,,0,1
236,2019-08-28,1,309157.0,,,,0,1
237,2019-08-29,1,309157.0,,,,0,1
238,2019-08-30,1,309157.0,,,,0,1
239,2016-05-16,2,1352464.0,,,,0,1
240,2016-05-17,2,1352464.0,,,,0,1
241,2016-05-18,2,1352464.0,,,,0,1
242,2016-05-19,2,1352464.0,,,,0,1
243,2016-05-20,2,1352464.0,,,,0,1
244,2016-05-21,2,1352464.0,,,,0,1
245,2016-05-22,2,1352464.0,,,,0,1
246,2016-05-23,2,1352464.0,,,,0,1
247,2016-05-25,2,1352464.0,,,,0,1
248,2016-05-26,2,1352464.0,,,,0,1
249,2016-05-27,2,1352464.0,,,,0,1
250,2016-06-08,2,1352464.0,,,,0,1
251,2016-06-09,2,1352464.0,,,,0,1
252,2016-06-10,2,1352464.0,,,,0,1
253,2016-06-11,2,1352464.0,,,,0,1
254,2016-06-12,2,1352464.0,,,,0,1
255,2016-06-13,2,1352464.0,,,,0,1
256,2016-06-14,2,1352464.0,,,,0,1
257,2016-06-15,2,1352464.0,,,,0,1
258,2016-06-16,2,1352464.0,,,,0,1
259,2016-07-05,2,1352464.0,,,,0,1
260,2016-07-06,2,1352464.0,,,,0,1
261,2016-07-07,2,1352464.0,,,,0,1
262,2016-07-08,2,1352464.0,,,,0,1
263,2016-07-09,2,1352464.0,,,,0,1
264,2016-07-10,2,1352464.0,,,,0,1
265,2016-07-11,2,1352464.0,,,,0,1
266,2016-07-12,2,1352464.0,,,,0,1
267,2016-07-13,2,1352464.0,,,,0,1
268,2016-07-14,2,1352464.0,,,,0,1
269,2016-07-15,2,1352464.0,,,,0,1
270,2016-07-16,2,1352464.0,,,,0,1
271,2016-07-17,2,1352464.0,,,,0,1
272,2016-07-18,2,1352464.0,,,,0,1
273,2016-07-19,2,1352464.0,,,,0,1
274,2016-07-20,2,1352464.0,,,,0,1
275,2016-07-21,2,1352464.0,,,,0,1
276,2016-07-22,2,1352464.0,,,,0,1
277,2016-07-23,2,1352464.0,,,,0,1
278,2016-07-24,2,1352464.0,,,,0,1
279,2016-07-25,2,1352464.0,,,,0,1
280,2016-07-26,2,1352464.0,,,,0,1
281,2016-07-27,2,1352464.0,,,,0,1
282,2016-07-28,2,1352464.0,,,,0,1
283,2016-07-29,2,1352464.0,,,,0,1
284,2016-07-30,2,1352464.0,,,,0,1
285,2016-07-31,2,1352464.0,,,,0,1
286,2016-08-01,2,1352464.0,,,,0,1
287,2016-08-02,2,1352464.0,,,,0,1
288,2016-08-03,2,1352464.0,,,,0,1
289,2016-08-04,2,1352464.0,,,,0,1
290,2016-08-05,2,1352464.0,,,,0,1
291,2016-08-06,2,1352464.0,,,,0,1
292,2016-08-07,2,1352464.0,,,,0,1
293,2016-08-08,2,1352464.0,,,,0,1
294,2016-08-09,2,1352464.0,,,,0,1
295,2016-08-10,2,1352464.0,,,,0,1
296,2016-08-11,2,1352464.0,,,,0,1
297,2016-08-12,2,1352464.0,,,,0,1
298,2016-08-13,2,1352464.0,,,,0,1
299,2016-08-14,2,1352464.0,,,,0,1
300,2016-08-15,2,1352464.0,,,,0,1
301,2016-08-16,2,1352464.0,,,,0,1
302,2016-08-17,2,1352464.0,,,,0,1
303,2016-08-18,2,1352464.0,,,,0,1
304,2016-08-19,2,1352464.0,,,,0,1
305,2016-08-20,2,1352464.0,,,,0,1
306,2016-08-21,2,1352464.0,,,,0,1
307,2016-08-22,2,1352464.0,,,,0,1
308,2016-08-23,2,1352464.0,,,,0,1
309,2016-08-24,2,1352464.0,,,,0,1
310,2016-08-25,2,1352464.0,,,,0,1
311,2016-08-26,2,1352464.0,,,,0,1
312,2016-08-27,2,1352464.0,,,,0,1
313,2016-08-28,2,1352464.0,,,,0,1
314,2016-08-29,2,1352464.0,,,,0,1
315,2016-08-30,2,1352464.0,,,,0,1
316,2016-08-31,2,1352464.0,,,,0,1
317,2016-09-01,2,1352464.0,,,,0,1
318,2016-09-02,2,1352464.0,,,,0,1
319,2016-09-03,2,1352464.0,,,,0,1
320,2016-09-04,2,1352464.0,,,,0,1
321,2016-09-05,2,1352464.0,,,,0,1
322,2016-09-06,2,1352464.0,,,,0,1
323,2016-09-07,2,1352464.0,,,,0,1
324,2016-09-08,2,1352464.0,,,,0,1
325,2016-09-09,2,1352464.0,,,,0,1
326,2016-09-10,2,1352464.0,,,,0,1
327,2016-09-11,2,1352464.0,,,,0,1
328,2016-09-12,2,1352464.0,,,,0,1
329,2016-09-13,2,1352464.0,,,,0,1
330,2016-09-14,2,1352464.0,,,,0,1
331,2016-09-15,2,1352464.0,,,,0,1
332,2016-09-16,2,1352464.0,,,,0,1
333,2016-09-17,2,1352464.0,,,,0,1
334,2016-09-18,2,1352464.0,,,,0,1
335,2016-09-19,2,1352464.0,,,,0,1
336,2016-09-20,2,1352464.0,,,,0,1
337,2016-09-21,2,1352464.0,,,,0,1
338,2016-09-22,2,1352464.0,,,,0,1
339,2016-09-23,2,1352464.0,,,,0,1
340,2016-09-24,2,1352464.0,,,,0,1
341,2016-09-25,2,1352464.0,,,,0,1
342,2016-09-26,2,1352464.0,,,,0,1
343,2016-09-27,2,1352464.0,,,,0,1
344,2016-09-28,2,1352464.0,,,,0,1
345,2016-09-29,2,1352464.0,,,,0,1
346,2016-09-30,2,1352464.0,,,,0,1
347,2016-10-01,2,1352464.0,,,,0,1
348,2016-10-02,2,1352464.0,,,,0,1
349,2016-10-03,2,1352464.0,,,,0,1
350,2016-10-04,2,1352464.0,,,,0,1
351,2016-10-05,2,1352464.0,,,,0,1
352,2016-10-06,2,1352464.0,,,,0,1
353,2016-10-07,2,1352464.0,,,,0,1
354,2016-10-08,2,1352464.0,,,,0,1
355,2016-10-09,2,1352464.0,,,,0,1
356,2016-10-10,2,1352464.0,,,,0,1
357,2016-10-11,2,1352464.0,,,,0,1
358,2016-10-12,2,1352464.0,,,,0,1
359,2016-10-13,2,1352464.0,,,,0,1
360,2016-10-14,2,1352464.0,,,,0,1
361,2016-10-15,2,1352464.0,,,,0,1
362,2016-10-16,2,1352464.0,,,,0,1
363,2016-10-17,2,1352464.0,,,,0,1
364,2016-10-18,2,1352464.0,,,,0,1
365,2016-10-19,2,1352464.0,,,,0,1
366,2016-10-20,2,1352464.0,,,,0,1
367,2016-10-21,2,1352464.0,,,,0,1
368,2016-10-22,2,1352464.0,,,,0,1
369,2019-01-14,3,2033176.0,,,,0,1
370,2019-01-15,3,2033176.0,,,,0,1
371,2019-01-16,3,2033176.0,,,,0,1
372,2019-01-17,3,2033176.0,,,,0,1
373,2019-01-18,3,2033176.0,,,,0,1
374,2019-01-19,3,2033176.0,,,,0,1
375,2019-01-20,3,2033176.0,,,,0,1
376,2019-01-21,3,2033176.0,,,,0,1
377,2019-01-22,3,2033176.0,,,,0,1
378,2019-01-23,3,2033176.0,,,,0,1
379,2019-01-24,3,2033176.0,,,,0,1
380,2019-01-25,3,2033176.0,,,,0,1
381,2019-01-26,3,2033176.0,,,,0,1
382,2019-01-27,3,2033176.0,,,,0,1
383,2019-01-28,3,2033176.0,,,,0,1
384,2019-01-29,3,2033176.0,,,,0,1
385,2019-01-30,3,2033176.0,,,,0,1
386,2019-01-31,3,2033176.0,,,,0,1
387,2019-02-01,3,2033176.0,,,,0,1
388,2019-02-02,3,2033176.0,,,,0,1
389,2019-02-03,3,2033176.0,,,,0,1
390,2019-02-04,3,2033176.0,,,,0,1
391,2019-02-05,3,2033176.0,,,,0,1
392,2019-02-06,3,2033176.0,,,,0,1
393,2019-02-07,3,2033176.0,,,,0,1
394,2019-02-08,3,2033176.0,,,,0,1
395,2019-02-09,3,2033176.0,,,,0,1
396,2019-02-10,3,2033176.0,,,,0,1
397,2019-02-26,3,2033176.0,,,,0,1
398,2019-02-27,3,2033176.0,,,,0,1
399,2019-02-28,3,2033176.0,,,,0,1
400,2019-03-01,3,2033176.0,,,,0,1
401,2019-03-02,3,2033176.0,,,,0,1
402,2019-03-03,3,2033176.0,,,,0,1
403,2019-03-04,3,2033176.0,,,,0,1
404,2019-03-05,3,2033176.0,,,,0,1
405,2019-03-06,3,2033176.0,,,,0,1
406,2019-03-07,3,2033176.0,,,,0,1
407,2019-03-08,3,2033176.0,,,,0,1
408,2019-03-09,3,2033176.0,,,,0,1
409,2019-03-10,3,2033176.0,,,,0,1
410,2019-03-11,3,2033176.0,,,,0,1
411,2019-03-12,3,2033176.0,,,,0,1
